Ranking,Name,Year,Duration,Point
120,Metropolis,1927,2h 33m,8.3
121,Snatch,2000,1h 42m,8.2
122,L,1997,2h 18m,8.2
123,Hamilton,2020,2h 40m,8.3
124,1917,2019,1h 59m,8.2
125,Bicycle Thieves,1948,1h 29m,8.3
126,Taxi Driver,1976,1h 54m,8.2
127,Downfall,2004,2h 36m,8.2
128,Dangal,2016,2h 41m,8.3
129,For a Few Dollars More,1965,2h 12m,8.2
130,Batman Begins,2005,2h 20m,8.2
131,The Wolf of Wall Street,2013,3h,8.2
132,Some Like It Hot,1959,2h 1m,8.2
133,Green Book,2018,2h 10m,8.2
134,The Kid,1921,1h 8m,8.2
135,The Father,2020,1h 37m,8.2
136,Judgment at Nuremberg,1961,2h 59m,8.3
137,The Truman Show,1998,1h 43m,8.2
138,All About Eve,1950,2h 18m,8.2
139,Top Gun: Maverick,2022,2h 10m,8.2
140,Shutter Island,2010,2h 18m,8.2
141,There Will Be Blood,2007,2h 38m,8.2
142,Casino,1995,2h 58m,8.2
143,Jurassic Park,1993,2h 7m,8.2
144,Ran,1985,2h 40m,8.2
145,The Sixth Sense,1999,1h 47m,8.2
146,Pan's Labyrinth,2006,1h 58m,8.2
147,Unforgiven,1992,2h 10m,8.2
148,No Country for Old Men,2007,2h 2m,8.2
149,A Beautiful Mind,2001,2h 15m,8.2
150,The Thing,1982,1h 49m,8.2
151,Kill Bill: Vol,2003,1h 51m,8.2
152,The Treasure of the Sierra Madre,1948,2h 6m,8.2
153,Yojimbo,1961,1h 50m,8.2
154,Monty Python and the Holy Grail,1975,1h 31m,8.2
155,The Great Escape,1963,2h 52m,8.2
156,Finding Nemo,2003,1h 40m,8.2
157,Prisoners,2013,2h 33m,8.2
158,Howl's Moving Castle,2004,1h 59m,8.2
159,Rashomon,1950,1h 28m,8.2
160,The Elephant Man,1980,2h 4m,8.2
161,Dial M for Murder,1954,1h 45m,8.2
162,Chinatown,1974,2h 10m,8.1
163,Gone with the Wind,1939,3h 58m,8.2
164,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1
165,V for Vendetta,2005,2h 12m,8.2
166,The Secret in Their Eyes,2009,2h 9m,8.2
167,Inside Out,2015,1h 35m,8.1
168,Raging Bull,1980,2h 9m,8.1
169,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1
170,Trainspotting,1996,1h 33m,8.1
171,The Bridge on the River Kwai,1957,2h 41m,8.1
172,Klaus,2019,1h 36m,8.2
173,Fargo,1996,1h 38m,8.1
174,Spider-Man: No Way Home,2021,2h 28m,8.2
175,Catch Me If You Can,2002,2h 21m,8.1
176,Warrior,2011,2h 20m,8.1
177,Gran Torino,2008,1h 56m,8.1
178,My Neighbor Totoro,1988,1h 26m,8.1
179,Million Dollar Baby,2004,2h 12m,8.1
180,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1
181,Children of Heaven,1997,1h 29m,8.2
182,12 Years a Slave,2013,2h 14m,8.1
183,Blade Runner,1982,1h 57m,8.1
184,Ben-Hur,1959,3h 32m,8.1
185,Before Sunrise,1995,1h 41m,8.1
186,The Grand Budapest Hotel,2014,1h 39m,8.1
187,Barry Lyndon,1975,3h 5m,8.1
188,Gone Girl,2014,2h 29m,8.1
189,Hacksaw Ridge,2016,2h 19m,8.1
190,Mad Max: Fury Road,2015,2h,8.1
191,The Gold Rush,1925,1h 35m,8.1
192,Memories of Murder,2003,2h 12m,8.1
193,Dead Poets Society,1989,2h 8m,8.1
194,In the Name of the Father,1993,2h 13m,8.1
195,Wild Tales,2014,2h 2m,8.1
196,The Deer Hunter,1978,3h 3m,8.1
197,The General,1926,1h 18m,8.1
198,"Monsters, Inc",2001,1h 32m,8.1
199,On the Waterfront,1954,1h 48m,8.1
200,Sherlock Jr,1924,45m,8.2
201,How to Train Your Dragon,2010,1h 38m,8.1
202,Jaws,1975,2h 4m,8.1
203,The Wages of Fear,1953,2h 11m,8.2
204,The Third Man,1949,1h 33m,8.1
205,Mary and Max,2009,1h 32m,8.1
206,Wild Strawberries,1957,1h 31m,8.1
207,Mr,1939,2h 9m,8.1
208,Ratatouille,2007,1h 51m,8.1
209,Ford v Ferrari,2019,2h 32m,8.1
210,Tokyo Story,1953,2h 16m,8.1
211,The Big Lebowski,1998,1h 57m,8.1
212,Room,2015,1h 58m,8.1
213,The Seventh Seal,1957,1h 36m,8.1
214,Rocky,1976,2h,8.1
215,Logan,2017,2h 17m,8.1
216,Spotlight,2015,2h 9m,8.1
217,Hotel Rwanda,2004,2h 1m,8.1
218,The Terminator,1984,1h 47m,8.1
219,Platoon,1986,2h,8.1
220,The Passion of Joan of Arc,1928,1h 54m,8.1
221,La haine,1995,1h 38m,8.1
222,Before Sunset,2004,1h 20m,8.1
223,The Best Years of Our Lives,1946,2h 50m,8.1
224,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1
225,The Exorcist,1973,2h 2m,8.1
226,Jai Bhim,2021,2h 44m,8.7
227,Rush,2013,2h 3m,8.1
228,Network,1976,2h 1m,8.1
229,The Wizard of Oz,1939,1h 42m,8.1
230,Stand by Me,1986,1h 29m,8.1
231,The Incredibles,2004,1h 55m,8.0
232,Hachi: A Dog's Tale,2009,1h 33m,8.1
233,My Father and My Son,2005,1h 52m,8.2
234,The Handmaiden,2016,2h 25m,8.1
235,Into the Wild,2007,2h 28m,8.1
236,The Sound of Music,1965,2h 52m,8.1
237,To Be or Not to Be,1942,1h 39m,8.1
238,The Battle of Algiers,1966,2h 1m,8.1
239,The Grapes of Wrath,1940,2h 9m,8.1
240,Groundhog Day,1993,1h 41m,8.0
241,Amores Perros,2000,2h 34m,8.1
242,The Iron Giant,1999,1h 26m,8.1
243,Rebecca,1940,2h 10m,8.1
244,Cool Hand Luke,1967,2h 7m,8.1
245,The Help,2011,2h 26m,8.1
246,It Happened One Night,1934,1h 45m,8.1
247,Drishyam,2015,2h 43m,8.2
248,Gangs of Wasseypur,2012,5h 21m,8.2
249,Dances with Wolves,1990,3h 1m,8.0
250,Aladdin,1992,1h 30m,8.0
